OTU,Genus,Family,Order,Class,Phylum
233,Otu000789,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
234,Otu000795,Oscillibacter,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
235,Otu000800,Oscillibacter,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
236,Otu000802,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria
237,Otu000803,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes
238,Otu000804,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes
239,Otu000806,Akkermansia,Verrucomicrobiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia
240,Otu000808,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
241,Otu000827,Varibaculum,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria
242,Otu000829,Clostridium_IV,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
243,Otu000830,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
244,Otu000843,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
245,Otu000862,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
246,Otu000867,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
247,Otu000877,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
248,Otu000886,Dorea,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
249,Otu000889,Alloprevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
250,Otu000913,Roseburia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
251,Otu000915,Hydrogenoanaerobacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
252,Otu000921,Clostridium_IV,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
253,Otu000925,Anaerotruncus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
254,Otu000929,Anaerococcus,Clostridiales_Incertae_Sedis_XI,Clostridiales,Clostridia,Firmicutes
255,Otu000953,Methylobacterium,Methylobacteriaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
256,Otu000967,Roseburia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
257,Otu000972,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
258,Otu000976,Oscillibacter,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
259,Otu000978,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria
260,Otu001001,Corynebacterium,Corynebacteriaceae,Actinomycetales,Actinobacteria,Actinobacteria
261,Otu001002,Corynebacterium,Corynebacteriaceae,Actinomycetales,Actinobacteria,Actinobacteria
262,Otu001020,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
263,Otu001030,Anaerotruncus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
